name,affiliation,department,gold_email,gold_website
Peter G. Furth,Northeastern University,Social Sciences,,
Chiara Bellini,Northeastern University,Engineering,,
Yaning Li,Northeastern University,Engineering,,
David E. Budil,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
Ping‐an Zhong,Northeastern University,Engineering,,
Robin S. Codding,Northeastern University,Mathematics,,
Cheng Fan,Northeastern University,Medicine,,
Wei Zhang,Northeastern University,Computer Science,,
Francesco Restuccia,Northeastern University,Computer Science,,
Qi Ye,Northeastern University,Environmental Science,,
Xufeng Zhang,Northeastern University,Physics and Astronomy,,
Holly Jimison,Northeastern University,Health Professions,,
A. de la Torre,Northeastern University,Physics and Astronomy,,
Panagiotis Manolios,Northeastern University,Computer Science,,
Teng Fei,Northeastern University,Chemistry,,
Varun Narayan Mishra,Northeastern University,Environmental Science,,
Seth Cooper,Northeastern University,Computer Science,,
Alexandre Días Lópes,Northeastern University,Medicine,,
Xing Lü,Northeastern University,Agricultural and Biological Sciences,,
Ziheng Wang,Northeastern University,Engineering,,
Ineke Haen Marshall,Northeastern University,Social Sciences,,
Bo Liu,Northeastern University,Earth and Planetary Sciences,,
S. Kaprzyk,Northeastern University,Physics and Astronomy,,
Joshua J. Stefanik,Northeastern University,Medicine,,
Don Fallis,Northeastern University,Arts and Humanities,,
Mark Niedre,Northeastern University,Medicine,,
Mirek Riedewald,Northeastern University,Computer Science,,
Camron D. Bryant,Northeastern University,Neuroscience,,
Zhao Wen,Northeastern University,Engineering,,
Daniel T. O’Brien,Northeastern University,Social Sciences,,
Deepak Uttamchandani,Northeastern University,Engineering,,
Wonhee Lee,Northeastern University,Engineering,,
Charles A. DiMarzio,Northeastern University,Engineering,,
Edmund Yeh,Northeastern University,Computer Science,,
Chao Yan,Northeastern University,Engineering,,
Jinyang Liu,Northeastern University,Computer Science,,
Di Chang,Northeastern University,Materials Science,,
Justin Manjourides,Northeastern University,Environmental Science,,
Amiya K. Chakravarty,Northeastern University,"Business, Management and Accounting",,
Gregory M. Zimmerman,Northeastern University,Social Sciences,,
Wendy E. Parmet,Northeastern University,Health Professions,,
Florian Kaltenberger,Northeastern University,Engineering,,
Alireza Ramezani,Northeastern University,Engineering,,
Sinan Müftü,Northeastern University,Engineering,,
Steven A. Lopez,Northeastern University,Materials Science,,
A. Adam Ding,Northeastern University,Computer Science,,
Chuncheng Liu,Northeastern University,Medicine,,
Rouzbeh Amini,Northeastern University,Medicine,,
Dionisio Bernal,Northeastern University,Engineering,,
Iris Berent,Northeastern University,Psychology,,
Joshua W. Gallaway,Northeastern University,Engineering,,
Ho Yeon Chung,Northeastern University,Medicine,,
Bahram Shafai,Northeastern University,Engineering,,
Yuan Yuan,Northeastern University,Engineering,,
Timothy Fraser,Northeastern University,Social Sciences,,
Sarah Ostadabbas,Northeastern University,Computer Science,,
Hongwei Sun,Northeastern University,Engineering,,
Purnima Ratilal,Northeastern University,Earth and Planetary Sciences,,
Egon Schulte,Northeastern University,Mathematics,,
Emily Zimmerman,Northeastern University,Medicine,,
Micah J. McCauley,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
Xianfeng Liang,Northeastern University,Materials Science,,
Serdar Yüksel,Northeastern University,Decision Sciences,,
Xiaochun Yang,Northeastern University,Computer Science,,
Taşkın Padır,Northeastern University,Engineering,,
Shuo Tang,Northeastern University,Mathematics,,
Madhur Mangalam,Northeastern University,"Economics, Econometrics and Finance",,
Tiegang Gao,Northeastern University,Computer Science,,
Gene Cooperman,Northeastern University,Computer Science,,
Pu Zhao,Northeastern University,Computer Science,,
Zhicheng Yao,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
Clemens Bauer,Northeastern University,Neuroscience,,
Lili Su,Northeastern University,Computer Science,,
Suo Li,Northeastern University,Engineering,,
Fukang Zhu,Northeastern University,"Economics, Econometrics and Finance",,
Irina Todorova,Northeastern University,Medicine,,
Ayan Paul,Northeastern University,Physics and Astronomy,,
Luis Alfonso Dau,Northeastern University,"Business, Management and Accounting",,
Asieh Golozar,Northeastern University,Medicine,,
Rhea T. Eskew,Northeastern University,Neuroscience,,
Wesley Hayes,Northeastern University,Medicine,,
V. Nguyen,Northeastern University,Physics and Astronomy,,
Christoph Riedl,Northeastern University,Social Sciences,,
Zhisong Chen,Northeastern University,"Business, Management and Accounting",,
MiYoung Kwon,Northeastern University,Neuroscience,,
Mei‐Hua Shen,Northeastern University,Chemistry,,
Yin Sun,Northeastern University,Engineering,,
Laura Huang,Northeastern University,"Business, Management and Accounting",,
Marvin Onabajo,Northeastern University,Engineering,,
Alexander I. Suciu,Northeastern University,Mathematics,,
Suthakar Ganapathy,Northeastern University,Medicine,,
Woodrow Hartzog,Northeastern University,Social Sciences,,
Laura Forlano,Northeastern University,Computer Science,,
Zhengming Jin,Northeastern University,Medicine,,
Neelu Jain,Northeastern University,Agricultural and Biological Sciences,,
Yan Zhou,Northeastern University,Computer Science,,
Muhammad Usama,Northeastern University,Computer Science,,
Maria Pia Riccardi,Northeastern University,Arts and Humanities,,
Zhenyu Lu,Northeastern University,Engineering,,
Carlos Hidrovo,Northeastern University,Engineering,,
Ronald Sandler,Northeastern University,Environmental Science,,
Wenlong Huang,Northeastern University,Engineering,,
Ning Bao,Northeastern University,Physics and Astronomy,,
Shiquan Wang,Northeastern University,Engineering,,
V. K. Mathur,Northeastern University,Materials Science,,
Jonathan Bell,Northeastern University,Computer Science,,
Lauren M. MacLean,Northeastern University,Social Sciences,,
Arnold Bloom,Northeastern University,Medicine,,
Milen Yakimov,Northeastern University,Mathematics,,
Jack McDevitt,Northeastern University,Social Sciences,,
Cristian Cassella,Northeastern University,Engineering,,
V. Lakshmibai,Northeastern University,Mathematics,,
Michelle A. Borkin,Northeastern University,Computer Science,,
Latika Menon,Northeastern University,Energy,,
Wolfgang Gatterbauer,Northeastern University,Computer Science,,
Marco Colangelo,Northeastern University,Engineering,,
Jianzong Wang,Northeastern University,Computer Science,,
Jordan M. Cox,Northeastern University,Materials Science,,
Laurent Lessard,Northeastern University,Engineering,,
Benjamin A. Miller,Northeastern University,Physics and Astronomy,,
Yanfeng Zhang,Northeastern University,Computer Science,,
Peter Topalov,Northeastern University,Physics and Astronomy,,
Xiangru Kong,Northeastern University,Materials Science,,
Irina Kareva,Northeastern University,Mathematics,,
Tianshi Li,Northeastern University,Social Sciences,,
Peter Graneau,Northeastern University,Engineering,,
Bin Wang,Northeastern University,Computer Science,,
Theodore A. Alston,Northeastern University,Arts and Humanities,,
Joseph Reilly,Northeastern University,Earth and Planetary Sciences,,
Xuan Zhang,Northeastern University,Computer Science,,
Hongli Xu,Northeastern University,Engineering,,
Gunar Schirner,Northeastern University,Computer Science,,
Changliang Wang,Northeastern University,Engineering,,
Hui Zhu,Northeastern University,Engineering,,
Jonathan Kahn,Northeastern University,"Biochemistry, Genetics and Molecular Biology",,
Emmy Graber,Northeastern University,Medicine,,
Minghui Xu,Northeastern University,Earth and Planetary Sciences,,
Jianhong Chen,Northeastern University,Engineering,,
Jeongkyu Lee,Northeastern University,Computer Science,,
Jun Xiao,Northeastern University,Computer Science,,
